"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"V33E92H3","bookSection","2019","Poniachek, Harvey A.","Microsoft Corporation Notes Offering Valuation","Cases in Financial Management","9789811216732","","","https://www.worldscientific.com/doi/abs/10.1142/9789811216749_0011","","2019-12-19","2024-02-18 15:35:30","2024-02-18 15:35:30","2024-02-18 15:35:30","149-182","","","Volume 1","","","","World Scientific Series in Modern Finance: Advanced Topics in Finance for the Academician and Practitioner","Volume 1","","","WORLD SCIENTIFIC","","","","","","","worldscientific.com (Atypon)","","DOI: 10.1142/9789811216749_0011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIS8CRUZ","journalArticle","2024","Nwokolo, Samuel; Eyime, Eyime; Obiwulu, Anthony; Ogbulezie, Julie","Africa's Path to Sustainability: Harnessing Technology, Policy, and Collaboration","Trends in Renewable Energy","","","10.17737/tre.2024.10.1.00166","","This paper explores the significant role of technological advancements, strategic policies, and collaborations in driving Africa towards a more sustainable future. It highlights how the continent's increasing adoption of innovative technologies, such as renewable energy solutions and digital infrastructure, coupled with well-crafted strategic policies and international collaborations, is transforming various sectors and fostering a sustainable future. These advancements have not only improved access to basic services like healthcare and education but have also created new opportunities for economic growth and job creation. The paper emphasizes the importance of ongoing collaborations between African countries and international partners in sharing knowledge, expertise, and resources to accelerate sustainable development efforts across the continent. The paper discusses different international organizations that have collaborated with and assisted Africa in the areas of technical innovation, finance, and knowledge exchange necessary to achieve a full-scale sustainable future. Despite their humanitarian efforts, Africa faces tremendous hurdles in attaining a sustainable future. These challenges range from a lack of access to technology and digital infrastructure in rural areas to difficulties in harnessing technological advancements due to infrastructure and connectivity constraints. These challenges have hindered Africa's ability to fully leverage the potential of technical innovation and digital solutions for a sustainable future. Limited financial resources and investment opportunities have further impeded progress in achieving the necessary infrastructure and connectivity upgrades. The continent is vulnerable to the impacts of climate change, which further hinders its development progress. Therefore, it is crucial for ongoing collaborations between African countries and international partners to address these challenges collectively and work towards long-term solutions for a sustainable future in Africa.","2024-01-01","2024-02-18 15:35:46","2024-02-18 15:35:46","","98-131","","","10","","Trends in Renewable Energy","Africa's Path to Sustainability","","","","","","","","","","","","ResearchGate","","","","C:\Users\DONKAMS\Zotero\storage\DPFRF79U\Nwokolo et al. - 2024 - Africa's Path to Sustainability Harnessing Techno.pdf; ","https://www.researchgate.net/profile/Samuel-Nwokolo/publication/376267686_Africa's_Path_to_Sustainability_Harnessing_Technology_Policy_and_Collaboration/links/657134a1286c65604a947837/Africas-Path-to-Sustainability-Harnessing-Technology-Policy-and-Collaboration.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAX89LK5","journalArticle","2023","Modak, Nikunja Mohan; Sinha, Sudipta; Ghosh, Debabrata Kumar","A review on remanufacturing, reuse, and recycling in supply chain—Exploring the evolution of information technology over two decades","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2023.100160","https://www.sciencedirect.com/science/article/pii/S2667096823000071","Remanufacturing, reuse, and recycling in supply chain (RRR & Supply chain) are recently gaining significant attention from researchers. This bibliometric study aims to make overall research scenarios on RRR & Supply chain by analyzing the published papers. For a collection of exclusive papers in this area, we rely on the well-known trustworthy database SCOPUS. The bibliometric study is done by the contents of publication and citation structure of influential papers, leading authors, institutions, and countries, citation structure of top ten journals, country analysis in the area of RRR & Supply chain research. Present study reveals that S.M. Gupta has the highest number of publications, the USA is the most influential country, the renowned ‘Journal of Cleaner Production’ has published the greatest number of papers, and the Institute ‘Huazhong University of Science and Technology’ has the highest number of publications in this field. Through data mining this work revealed that closed loop supply chain, industry, waste, review, policy, circular economy, and sustainability are mostly used keywords while highly cited articles frequently used keywords like supply chain management; closed-loop supply chain; reverse logistics; article; logistics; manufacture; costs; decision making; environmental impact; and waste management. This study will help to fill the research gap and show a roadmap for future research direction in this area.","2023-04-01","2024-02-18 15:35:56","2024-02-18 15:35:56","2024-02-18 15:35:56","100160","","1","3","","International Journal of Information Management Data Insights","","","","","","","","","","","","","ScienceDirect","","","","","","","Bibliometrics; Recycling; Remanufacturing; Reuse; Supply chain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DUUUUGNK","webpage","","","https://www.emerald.com/insight/content/doi/10.1108/APJBA-05-2019-0093/full/html","","","","","https://www.emerald.com/insight/content/doi/10.1108/APJBA-05-2019-0093/full/html","","","2024-02-18 15:36:24","2024-02-18 15:36:24","2024-02-18 15:36:24","","","","","","","","","","","","","","","","","","","","","","","C:\Users\DONKAMS\Zotero\storage\LSEPU333\html.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWFC5EFF","journalArticle","2020","Lee, Yan Yin; Falahat, Mohammad; Sia, Bik Kai","Drivers of digital adoption: a multiple case analysis among low and high-tech industries in Malaysia","Asia-Pacific Journal of Business Administration","","1757-4323","10.1108/APJBA-05-2019-0093","https://doi.org/10.1108/APJBA-05-2019-0093","Purpose This paper identifies the forces that drive digital adoption among SMEs from low and high-tech industries in Malaysia. Design/methodology/approach This research uses multiple case analyses based on data gathered by in-depth interviews with key representatives of 20 firms from low and high-tech industries in Malaysia. Findings The findings suggest that digital adoption among SMEs derives by four fundamental forces, which are sales, marketing, process improvement and product development. Research limitations/implications This study employed qualitative research, but lack of geographic diversity limits the generalisability of the case findings. This study provides several suggestions to policymakers and technology suppliers on how to encourage adoption of digitalisation among SMEs. Originality/value This study proposes a model that presents the critical forces that drive digital adoption for export-oriented firms, thus enriching the knowledge in SME digitalisation literature.","2020-01-01","2024-02-18 15:36:52","2024-02-18 15:36:52","2024-02-18 15:36:52","80-97","","1","13","","","Drivers of digital adoption","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Publishing Limited","","","","","Digitalisation; Internationalisation; Low and high-tech industries; SMEs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TRDHFDS","webpage","","","https://www.emerald.com/insight/content/doi/10.1108/APJBA-05-2019-0093/full/html","","","","","https://www.emerald.com/insight/content/doi/10.1108/APJBA-05-2019-0093/full/html","","","2024-02-18 15:37:02","2024-02-18 15:37:02","2024-02-18 15:37:02","","","","","","","","","","","","","","","","","","","","","","","C:\Users\DONKAMS\Zotero\storage\TVXMUEVV\html.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FZ2L7FP","book","2023","Nkang, Cynthia","PESTLE Analysis Report for BAE Systems: Integrating Cloud Technology in the Defence Sector","","","","","","This study explains the effects of cloud computing in the defence sector.","2023-05-12","2024-02-18 15:37:48","2024-02-18 15:37:48","","","","","","","","PESTLE Analysis Report for BAE Systems","","","","","","","","","","","","ResearchGate","","DOI: 10.13140/RG.2.2.32832.92160","","C:\Users\DONKAMS\Zotero\storage\3BUW394E\Nkang - 2023 - PESTLE Analysis Report for BAE Systems Integratin.pdf; ","https://www.researchgate.net/profile/Cynthia-Nkang/publication/370750858_PESTLE_Analysis_Report_for_BAE_Systems_Integrating_Cloud_Technology_in_the_Defence_Sector/links/645ff4eef43b8a29ba4c0744/PESTLE-Analysis-Report-for-BAE-Systems-Integrating-Cloud-Technology-in-the-Defence-Sector.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJUXJBFG","webpage","","Roxana, D; Maiorescu","An Analysis of Online Perceptions in Response to Microsoft’s and Google’s Sexual Harassment Scandals - Roxana D. Maiorescu, 2024","","","","","https://journals.sagepub.com/doi/abs/10.1177/23294906241229178","","","2024-02-18 15:38:15","2024-02-18 15:43:03","2024-02-18 15:38:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUMH6AMU","conferencePaper","2011","Williams, Bill; Figueiredo, José","Strategy and technology management: An innovation-leader case study","First International Technology Management Conference","","","10.1109/ITMC.2011.5996060","https://ieeexplore.ieee.org/abstract/document/5996060","This paper studies a Portuguese academic start-up company, an acknowledged innovation leader in its sector, in two critical phases of its strategic development: (1) the founding of the company by a group of successful university engineering researchers in 2000 (2) its bid for internationalization in 2010. In the first case PESTLE and Porters Five Forces are the principal strategic tools which are applied while in the latter SWOT analysis is employed and this in turn leads to the identification of possible strategic options for internationalization of the company in 2010. Subsequently the company's actual strategic choices are described. In conclusion there is a critical discussion of the case for the use of SWOT Analysis in strategic technology management and proposals are made for the inclusion of strategic analysis tools in engineering and technology courses.","2011-06","2024-02-18 15:39:48","2024-02-18 15:39:48","2024-02-18 15:39:48","806-811","","","","","","Strategy and technology management","","","","","","","","","","","","IEEE Xplore","","","","","","","academic start-up; Augmented reality; Companies; Context; Engineering education; entrepreneurship; Instruments; Interviews; strategy management; technology management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","First International Technology Management Conference","","","","","","","","","","","","","","",""
"93PEKMNP","webpage","","Jae_woong","A Global Brand of the Microsoft Company : 4Ps and PEST Analysis - 문화산업연구 - 한국문화산업학회 : 논문 - DBpia","","","","","https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE01523214","","","2024-02-18 15:40:14","2024-02-18 15:42:19","2024-02-18 15:40:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z56PGVCA","journalArticle","2021","Qisman, M.; Rosadi, R.; Abdullah, A. S.","Market basket analysis using apriori algorithm to find consumer patterns in buying goods through transaction data (case study of Mizan computer retail stores)","Journal of Physics: Conference Series","","1742-6596","10.1088/1742-6596/1722/1/012020","https://dx.doi.org/10.1088/1742-6596/1722/1/012020","Mizan Computer Shop is a shop that is engaged in the trading sector, especially in the field of selling computers and supporting accessories. Growing and increasing number of business actors in the computer sector, can makes the players challenged to be able to create unique differentiation and clear positioning. So, that consumers can differentiate from their competitors. Competitive and dynamic market conditions make every company should always observe competition in their business environment. Retail stores need to use all of available resources including data. Data processing is expected to be able to provide information that can be used to support marketing strategies. One of the data processing methods that are often used in marketing strategies is the use of data mining techniques i.e Market Basket Analysis using a priori algorithm. The application is designed using the waterfall method which starts from analyzing user needs, designing a process using UML which consists of: Use Case Diagrams, Activity Diagrams and Sequence Diagrams . This Market Basket Analysis application was built using the PHP programming language. From the results of the analysis in this research, it can be concluded that for the combination of 2 items with the highest confidence value 100% and the lift ratio value 3.39 i.e if a consumer buys a Laptop Charger, he will also buy a keyboard and for a combination of 3 items with the highest confidence value 100% and the lift ratio value 2.17 i.e if a consumer buys a Joystick and Laptop, he will also buy a mouse.","2021-01","2024-02-18 15:45:48","2024-02-18 15:45:48","2024-02-18 15:45:48","012020","","1","1722","","J. Phys.: Conf. Ser.","","","","","","","","en","","","","","Institute of Physics","","Publisher: IOP Publishing","","C:\Users\DONKAMS\Zotero\storage\SBULRWWL\Qisman et al. - 2021 - Market basket analysis using apriori algorithm to .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YD5KTRWB","webpage","","","Review: The Resource-Based View and Information Systems Research: Review, Extension, and Suggestions for Future Research on JSTOR","","","","","https://www.jstor.org/stable/25148626","","","2024-02-18 15:48:42","2024-02-18 15:48:42","2024-02-18 15:48:42","","","","","","","","","","","","","","","","","","","","","","","C:\Users\DONKAMS\Zotero\storage\7VPSRFTL\25148626.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ES92TCJ8","webpage","","Robert, M; Grant, B","The Resource-Based Theory of Competitive Advantage: Implications for Strategy Formulation - Robert M. Grant, 1991","","","","","https://journals.sagepub.com/doi/abs/10.2307/41166664","","","2024-02-18 15:48:55","2024-02-18 15:50:23","2024-02-18 15:48:55","","","","","","","","","","","","","","","","","","","","","","","C:\Users\DONKAMS\Zotero\storage\2NVD2V7M\41166664.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24D4WM39","journalArticle","2015","Knott, Paul J.","Does VRIO help managers evaluate a firm’s resources?","Management Decision","","0025-1747","10.1108/MD-08-2014-0525","https://doi.org/10.1108/MD-08-2014-0525","Purpose The resource-based view and value-rarity-imitability-organisation (VRIO) method have diffused widely into courses aimed at managerial practice, but research has yet to verify whether they help managers analyse a firm’s resources. Following recent interest in the use of strategy tools, the purpose of this paper is to focus on what happens when VRIO informs strategy action. Design/methodology/approach The paper uses experimental method to evaluate directly users’ analysis guided by VRIO relative to analysis that is not. Systematic coding of the responses evaluates how users select resources to evaluate, in which areas they make recommendations, and what account they take of competitors, dynamic evolution, and resource disadvantages, risks and limitations. Findings VRIO encouraged users to evaluate resources relative to competitors and competitive dynamics, but resource selection difficulties and failure to evaluate resource disadvantages limited its value. In addition, it drew users to the existing operations and business model. Research limitations/implications The study highlights a tendency for users to evaluate antecedents and outcomes of resources, and partly supports the view that VRIO elicits inward-looking descriptions. Field-based research is needed to show how using VRIO plays out in full strategy making context. Practical implications Highlighted limitations in VRIO analysis could be alleviated by better specifying resource selection and by addressing the positive-only tenor of VRIO materials. Originality/value Only a small number of published studies evaluate VRIO as a method of practical strategic analysis, and this paper is the first to look directly at users’ responses.","2015-01-01","2024-02-18 15:49:14","2024-02-18 15:49:14","2024-02-18 15:49:14","1806-1822","","8","53","","","","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Group Publishing Limited","","C:\Users\DONKAMS\Zotero\storage\2MH22R7V\html.html","","","Experimental method; Firm resources; Resource-based view; Strategic analysis; Strategy tools; VRIO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
